id,name,location,unit_number,category,opening_hours,price_range,halal,vegetarian,website_url,phone_number
V001,7 Tea,North Spine,NS3-01-07,Bubble Tea,Daily: 10am to 8pm,$1-10,FALSE,TRUE,,null
V002,A Hot Hideout,Tanjong Hall,TJH-03-02,Café/Restaurant,Daily: 11.30am to 8.30pm,$10-20,FALSE,FALSE,https://ahothideout.com,null
V003,Acai Guru,North Spine,NS2.1-02-01/03,Dessert,Mon to Fri: 10am to 8pm; Sat: 10am to 2.30pm; Sun & PH: Closed,$1-10,FALSE,TRUE,https://www.acaiguru.com,null
V004,Ananda's TAJ Restaurant,Binjai Hall,BJH-01-02,Café/Restaurant,Daily: 11.30am to 10.30pm,$10-20,TRUE,TRUE,https://www.facebook.com/anandastajrestaurant/,null
V005,ANDES by ASTONS,Hall 13,Hall13-01-13ANDES,Café/Restaurant,Daily: 11am to 8pm,$10-20,TRUE,FALSE,https://andes.sg,null
V006,Bakery Cuisine,North Spine,NS3-01-20,Bakery,Mon to Fri: 7am to 9pm; Sat & Sun: 8am to 6pm,$1-10,FALSE,TRUE,https://bakerycuisine.com.sg,null
V007,Bismillah Biryani,North Spine,NS3-01-12,Fast Food/Takeout,Mon to Fri: 11.30am to 7.30pm; Sat: 11.30am to 5pm; Sun & PH: Closed,$10-20,TRUE,TRUE,https://www.bismillahbiryani.com,null
V008,Blue Ocean Kopi & Toast,North Spine,N2.1-01-05,Fast Food/Takeout,Daily: 8am to 8.30pm (last order),$1-10,TRUE,FALSE,null,null
V009,Boost Juice Bars,North Spine,NS3-01-11,Juice,Mon to Fri: 10am to 9pm; Sat & Sun: 10am to 6pm; PH: Closed,$1-10,FALSE,TRUE,https://www.boostjuicebars.com.sg,null
V010,Chateraise Unmanned Store,North Spine,NS3-01-08,Dessert,Daily: 24 hours,$1-10,FALSE,FALSE,https://chateraisesg.getz.co/?StoreID=70eca2db-0450-4412-ac9d-b353ebb44cd8&Service=PickUp&lang=EN,null
V011,CHICHA San Chen - North Spine,North Spine,NS3-01-23,Bubble Tea,Mon to Fri: 10am to 7.30pm; Sat: 10am to 3pm; Sun & PH: Closed,$1-10,FALSE,TRUE,https://www.chichasanchen.com.sg,null
V012,Co-op @ NTU Cafe,The Hive,LHS-B5-ME3/4,Café/Restaurant,"Mon to Fri: 9.30am to 7pm; Sat, Sun & PH: Closed",$1-10,TRUE,TRUE,https://www.facebook.com/coopntu/,null
V013,Coffee Faculty,South Spine,SS1-01-05,Coffee,"School Term - Mon to Fri: 8am to 5pm; School Vacation - Mon to Fri: 8am to 3pm; Sat, Sun & PH: Closed",$1-10,FALSE,TRUE,https://www.instagram.com/coffeefacultysg/?hl=en,null
V014,Connect 71 Cafe (C71),Innovation and Entrepreneurship,NIC-03-23,Café/Restaurant,Mon to Fri: 9am to 9pm; Sat & Sun: By reservations only; PH: Closed,$10-20,FALSE,TRUE,https://www.instagram.com/c71.sg/?hl=en,null
V015,Domino's Pizza (The Arc),The Arc,LHN-B1-01,Fast Food/Takeout,Daily: 10.30am to 11pm,$10-20,TRUE,TRUE,https://www.dominos.com.sg,null
V016,Each-A-Cup,North Spine,NS3-01-21,Bubble Tea,"Mon to Fri: 9am to 9pm; Sat, Sun & PH: 9am to 8pm",$1-10,TRUE,TRUE,https://www.each-a-cup.com,9182 9307
V017,Encik Tan,North Spine,N2.1-01-04,Café/Restaurant,Daily: 9.30am to 7.45pm,$1-10,TRUE,FALSE,https://www.enciktan.com.sg,null
V018,Food Court 1,Hall 1 ,Hall1-01-FC1,Canteen,Not stated,$1-10,FALSE,TRUE,null,null
V019,Food Court 11,Hall 11,Hall11-01-FC,Canteen,Daily: 7am to 8pm,$1-10,null,FALSE,null,9786 6726
V020,Food Court 14,Hall 14,Hall14-01-FC,Canteen,Daily: 7am to 10pm,$1-10,FALSE,FALSE,null,8296 3633
V021,Food Court 16,Hall 16,Hall16-01-FC,Canteen,Daily: 7am to 10.30pm,$1-10,FALSE,FALSE,null,8296 3633
V022,Food Court 2,Hall 2,Hall2-01-01,Canteen,Daily: 7am to 10pm,$1-10,FALSE,TRUE,null,null
V023,Food Court 4,Hall 4,Hall4-01-FC,Canteen,Daily: 8am to 9pm,$1-10,FALSE,FALSE,null,null
V024,Food Court 9,Hall 9,Hall9-01-FC,Canteen,Daily: 7am to 9pm,$1-10,null,FALSE,null,9692 3456
V025,Food Court @ NIE,NIE,NIE4,Canteen,"Mon to Fri: 8am to 3pm; Sat, Sun & PH: Closed; 15 Dec 2025 - 4 Jan 2026: Closed",$1-10,null,TRUE,null,9766 3954
V026,Geláre,North Hill,NS3-01-19,Café/Restaurant,Mon - Fri: 10am to 8pm; Sat: 10am to 7pm; Sun & PH: Closed,$10-20,TRUE,TRUE,https://www.gelare.com.sg,null
V027,Hill Yard North Hill,Tanjong Hall,TJH-01-03,Café/Restaurant,Daily: 10am to 10pm,$10-20,FALSE,FALSE,null,null
V028,"June's Breathe Cafe
@ LKC Medicine",EMB,EMB-03-Café,Café/Restaurant,"Mon to Fri: 8am to 5pm; Sat, Sun & PH: Closed",$1-10,FALSE,TRUE,https://www.instagram.com/junesbreathecafe/?hl=en,null
V029,luckin coffee,South Spine,SS3-B4-03,Coffee,"Mon to Fri: 8am to 8pm; Sat, Sun & PH: 9am to 8pm",$1-10,TRUE,TRUE,https://www.luckincoffee.com.sg,null
V030,Mad Roaster at SHHK,SoH,SHHK-01-01,Coffee,"Mon to Fri: 9am to 4pm; Sat, Sun & PH: Closed",$1-10,FALSE,TRUE,https://www.madroaster.biz,null
V031,Malay Stall at South Spine (from Canteen 11),South Spine,SS1-01-05A,Fast Food/Takeout,"Sat, Sun and PH: Closed; Mon to Fri: 8am to 3pm",$1-10,TRUE,FALSE,null,null
V032,Man Le Chinese Restaurant,Campus Clubhouse,CCH-01-ManLe,Café/Restaurant,Daily: 11.30am to 3pm; 5.30pm to 10pm,$20-30,FALSE,FALSE,https://www.facebook.com/MANLERestaurant/,6592 2732
V033,McDonald's,North Spine,N2.1-01-08,Fast Food/Takeout,Mon to Sat: 7am to 10pm; Sun & PH: 10am to 8pm,$1-10,TRUE,TRUE,https://www.mcdonalds.com.sg,null
V034,Mr Bean,North Spine,NS3-01-16,Fast Food/Takeout,"Mon to Fri: 7am to 4pm; Sat, Sun & PH: Closed",$1-10,TRUE,TRUE,https://www.mrbean.com.sg,null
V035,Nanyang Crescent Food Court,Saraca Hall,SRH-01-FC,Canteen,Daily: 7am to 10pm,$1-10,null,TRUE,null,8296 3633
V036,North Hill Food Court (Colour Box),North Hill,NH-02-02,Canteen,Daily: 7am to 10pm,$1-10,null,FALSE,null,null
V037,North Spine Food Court & International Food Court (Koufu),North Spine,NS2.1-02-01/03,Canteen,Mon to Fri: 7am to 8.30pm; Sat: 7am to 2.30pm; Sun & PH: Closed,$1-10,null,TRUE,null,null
V038,Paik's Bibim,North Spine,NS3-01-15,Fast Food/Takeout,Mon to Fri: 10am to 9pm; Sat: 10am to 8pm; Sun & PH: Closed,$10-20,FALSE,TRUE,https://www.instagram.com/paiks.bibimsg/?hl=en,6262 0567
V039,Pasta Express,North Spine,NS3-01-17,Fast Food/Takeout,Mon to Fri: 10.30am to 7.30pm; Sat: 10.30am to 1.30pm; Sun & PH: Closed,$10-20,FALSE,TRUE,https://www.instagram.com/pastaexpress.sg/?hl=en,9025 8148
V040,PEN & INC,North Spine,NS2.1-01-01,Café/Restaurant,"Mon to Fri: 11am to 9pm; Sat, Sun & PH: Closed",$20-30,FALSE,TRUE,https://www.penandinc.sg,6513 5780
V041,Pioneer Food Court,Pioneer Hall,PH-01-FC,Canteen,Mon to Fri: 8am to 9pm; Sat & Sun: 8am to 8pm,$1-10,null,TRUE,null,6795 8831
V042,Popeyes,North Spine,N2.1-01-04,Fast Food/Takeout,"Mon to Fri: 10am to 9pm; Sat, Sun & PH: 11am to 9pm",$1-10,TRUE,FALSE,https://www.popeyes.com.sg/menu,6370 1151
V043,QQ Rice,North Spine,NS3-01-22,Fast Food/Takeout,Mon to Fri: 8am to 7pm; Sat: 8am to 5pm; Sun & PH: Closed,$1-10,FALSE,TRUE,https://www.qqgroup.sg/qqrice,8595 5592
V044,Quad Cafe (SBS),SBS,SBS-B1N-QUAD,Canteen,Mon to Fri: 7am to 8pm; Sat: 7am to 2pm; Sun & PH: Closed,$1-10,TRUE,TRUE,null,null
