ID,Name,place_id,place_name,review_id,review_link,name,reviewer_id,reviewer_profile,rating,review_text,original_language,review_translated_text,translated_language,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,response_from_owner_translated_text,avatar_link,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,experience_details,review_photos,review_origin
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2xZM2FEQmtWa1YzUlhkUWRIcDNiMHBrVjFCeVRsRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xZM2FEQmtWa1YzUlhkUWRIcDNiMHBrVjFCeVRsRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOlY3aDBkVkV3RXdQdHp3b0pkV1ByTlE%7C%7C?hl=en-GB,Natacia Leong,101577600739097892803,https://www.google.com/maps/contrib/101577600739097892803/reviews?hl=en-GB,5,amazingggg,en,,,6 hours ago,2026-09-04T04:04:25,,,,,https://lh3.googleusercontent.com/a/ACg8ocKOmjYw04bmCnJVjcuzyK9pZ5KDfx-RAaCBtH721N1gE7eamw=s1920,5,3,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Price per person"",""value"":""$10-20""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Recommended dishes"",""value"":""Deep Fried, Fried Potatoes, Tomato Collagen Soup""},{""name"":""Group size"",""value"":""Suitable for all group sizes""}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2tWV09HUk1iWGRTYld0UVJHNDFUa1I1T0hWM05sRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWV09HUk1iWGRTYld0UVJHNDFUa1I1T0hWM05sRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOkVWOGRMbXdSbWtQRG41TkR5OHV3NlE%7C%7C?hl=en-GB,Wei An Tan,117950988601677447586,https://www.google.com/maps/contrib/117950988601677447586/reviews?hl=en-GB,5,Pretty good,en,,,6 hours ago,2026-09-04T04:03:25,,,,,https://lh3.googleusercontent.com/a-/ALV-UjVap2IiBTklvo5XzBTKC7T835EbrRUqOkoTXYedqpf488yIOUdl=s1920,10,5,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Price per person"",""value"":""$10-20""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]","[{""id"":""CIABIhCf68cfkPwMZcn5up9gbnDY"",""url"":""https://lh3.googleusercontent.com/grass-cs/ACvplmPHMtU9qMR7H16tFzMDO7Szzsbe-3lCz-TaWS4HJ_rX165gTQe9GelK9rlNFo4Hl4Edu_BfNxUSLxe9Gx3Q9dDa81iJwyuK058zp6ThDGqOl0clLmAJyvr3R39yuDcC6lyi4a40aEVNwfZe=k-no"",""caption"":""Bowls of dipping sauces"",""width"":1920,""height"":1440}]",google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2xOcFpHeGtZVU15WVRnemRFZHpNbk5TWVhCV1dIYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOcFpHeGtZVU15WVRnemRFZHpNbk5TWVhCV1dIYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOlNpZGxkYUMyYTgzdEdzMnNSYXBWWHc%7C%7C?hl=en-GB,Andrew Li,117270232838124318653,https://www.google.com/maps/contrib/117270232838124318653/reviews?hl=en-GB,5,,,,,6 hours ago,2026-09-04T03:55:04,,,,,https://lh3.googleusercontent.com/a-/ALV-UjUhhSgpdu4HJW6qS2y15BWXO83A00qrhkFjYpobrwShH82yQHMv=s1920,6,1,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Price per person"",""value"":""$10-20""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Seating type"",""value"":""Indoor dining area""}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT21oWVRHbHdjbW8zT0RGUFVWTllSSHBzYmxOSGVFRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21oWVRHbHdjbW8zT0RGUFVWTllSSHBzYmxOSGVFRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOmhYTGlwcmo3ODFPUVNYRHpsblNHeEE%7C%7C?hl=en-GB,Shika,113686758233527597172,https://www.google.com/maps/contrib/113686758233527597172/reviews?hl=en-GB,5,,,,,6 hours ago,2026-09-04T03:54:23,,,,,https://lh3.googleusercontent.com/a/ACg8ocLP7HtFzJZubVbt1sB2jVEUfZcFTcKI_YmlaVpS9SalsIO8Wyc=s1920,0,0,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Price per person"",""value"":""$10-20""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Recommended dishes"",""value"":""Scrambled Eggs, Fried Potatoes""},{""name"":""Seating type"",""value"":""Indoor dining area, Outdoor patio / terrace""}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2xkb2RXOW1hRWhMTmtkTVdUTTFMVWt0TURrellYYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkb2RXOW1hRWhMTmtkTVdUTTFMVWt0TURrellYYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOldodW9maEhLNkdMWTM1LUktMDkzYXc%7C%7C?hl=en-GB,Cherilyn,112568600723409785979,https://www.google.com/maps/contrib/112568600723409785979/reviews?hl=en-GB,5,Amazing food best mala ever,en,,,2 days ago,2026-09-02T05:29:20,"Hi Cherilyn, so glad to hear that you enjoyed our mala! See you again soon  <br>",a day ago,2026-09-03T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjVSabXrJ5yVbozAyvwNn28lPZccYt2n9wWW4hJx2k4myaytjJ7f4A=s1920,3,1,,"[{""name"":""Meal type"",""value"":""Lunch""},{""name"":""Price per person"",""value"":""$1-10""},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Recommended dishes"",""value"":""Deep Fried""},{""name"":""Seating type"",""value"":""Indoor dining area""}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2pNM1dIcFhhV0pqY2tOSWNGSlBPV0UzWldsNGFtYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pNM1dIcFhhV0pqY2tOSWNGSlBPV0UzWldsNGFtYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOjM3WHpXaWJjckNIcFJPOWE3ZWl4amc%7C%7C?hl=en-GB,Flivereen Feithicia,109393590677279932067,https://www.google.com/maps/contrib/109393590677279932067/reviews?hl=en-GB,5,very helpful & food is also very good! would come back,en,,,2 days ago,2026-09-02T05:29:14,"Hi Feithicia, so glad to hear that you enjoyed our food! See you again soon  <br>",a day ago,2026-09-03T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjVmBoHhNf0REEpmRjTq3zBwr4404VrgnXskROKa50s5L-IqJlRF3Q=s1920,1,0,,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT25WblZtVnBObkJoTm5oelZsTkhia00xVTFaM01FRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WblZtVnBObkJoTm5oelZsTkhia00xVTFaM01FRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOnVnVmVpNnBhNnhzVlNHbkM1U1Z3MEE%7C%7C?hl=en-GB,Audreya Suvanto,100218152927364187899,https://www.google.com/maps/contrib/100218152927364187899/reviews?hl=en-GB,5,Super clean and nice place!!!,en,,,2 days ago,2026-09-02T05:23:05,"Hi Audreya, so glad to hear that you had a pleasant dining experience! See you again soon <br>",a day ago,2026-09-03T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjUZmCFBtWakV3nG21stYPG5Ss1PH3Iw1PpUk9wN4sMch6vVpwcO=s1920,0,0,,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT25WcU0wSktMVUZGZGtobE9XTkZMWEIzVldscVlXYxAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WcU0wSktMVUZGZGtobE9XTkZMWEIzVldscVlXYxAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOnVqM0JKLUFFdkhlOWNFLXB3VWlqYWc%7C%7C?hl=en-GB,Eunice Lim,100886327693521663226,https://www.google.com/maps/contrib/100886327693521663226/reviews?hl=en-GB,5,Amazing vibes!,en,,,2 days ago,2026-09-02T04:15:55,"Hi Eunice, so glad to hear that you had a pleasant dining experience! See you again soon <br>",a day ago,2026-09-03T10:48:25,,https://lh3.googleusercontent.com/a/ACg8ocJ4RMFS0RdbQBWI8_ooxpG_VufD7TNPElPz1WKs_VoKcjACCA=s1920,10,0,,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT2tGM05saDZSRTkzT1VkVE5WRlBUSEl3VERRM2VVRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGM05saDZSRTkzT1VkVE5WRlBUSEl3VERRM2VVRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOkF3Nlh6RE93OUdTNVFPTHIwTDQ3eUE%7C%7C?hl=en-GB,P,100051256989754425548,https://www.google.com/maps/contrib/100051256989754425548/reviews?hl=en-GB,5,,,,,2 days ago,2026-09-02T04:15:53,"Hi there, thanks for the 5-star review! See you again soon <br>",a day ago,2026-09-03T10:48:25,,https://lh3.googleusercontent.com/a/ACg8ocIP1DcrGkJvbRaEvklW0euF7hbweSWOR4wSnQXRsK7FEdx0KQ=s1920,3,1,,"[{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5}]",[],google
V002,A Hot Hideout,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),Ci9DQUlRQUNvZENodHljRjlvT21GdFowZ3dXa05xZG5kNUxXOXpWMUZEV1RaM1dsRRAB,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GdFowZ3dXa05xZG5kNUxXOXpWMUZEV1RaM1dsRRAB!2m1!1s0x0:0x701f1e11645dd2a1!3m1!1s2@1:CAIQACodChtycF9oOmFtZ0gwWkNqdnd5LW9zV1FDWTZ3WlE%7C%7C?hl=en-GB,sean lim,113588384284897908606,https://www.google.com/maps/contrib/113588384284897908606/reviews?hl=en-GB,5,"Great food, fast service",en,,,a week ago,2026-08-28T10:37:45,"Hi Sean, so glad to hear that our food and service meet your expectations! See you again soon!  <br>",6 days ago,2026-08-29T10:48:25,,https://lh3.googleusercontent.com/a-/ALV-UjW58fmHuYUbcLy15qZATMyRo4RzQmjdHTMTnoaIJImYEZwCNKo=s1920,6,0,,"[{""name"":""Meal type"",""value"":""Dinner""},{""name"":""Price per person"",""value"":""$40-50""},{""name"":""Food"",""value"":5},{""name"":""Service"",""value"":5},{""name"":""Atmosphere"",""value"":5},{""name"":""Recommended dishes"",""value"":""Collagen Soup, Scrambled Eggs""},{""name"":""Group size"",""value"":""1 person, 2 people, 3-4 people, 5-8 people""}]",[],google
