ID,Name,Location,Level / unit,Cuisine / type,Halal,Vegetarian,Opening hours,place_id,name,rating,reviews,price_range,address,main_category,categories,website,phone,hours,status,is_temporarily_closed,is_permanently_closed,link,query
V001,7 Tea,North Spine Plaza,NS3-01-07,Bubble tea / beverages,Not stated,Not stated,Daily: 10am to 8pm,ChIJ915WCyAP2jER8xhDWAuuWOI,7 TEA @ NTU,4.8,19,,"50 Nanyang Ave, NS3-01-07 North Spine, Plaza 639798",Tea and coffee shop,"[""Tea and coffee shop""]",,8587 4565,"[{""day"":""Monday"",""times"":[""10 am-8 pm""]},{""day"":""Tuesday"",""times"":[""10 am-8 pm""]},{""day"":""Wednesday"",""times"":[""10 am-8 pm""]},{""day"":""Thursday"",""times"":[""10 am-8 pm""]},{""day"":""Friday"",""times"":[""10 am-8 pm""]},{""day"":""Saturday"",""times"":[""10 am-8 pm""]},{""day"":""Sunday"",""times"":[""10 am-8 pm""]}]",,,,https://www.google.com/maps/place/7+TEA+%40+NTU/data=!4m7!3m6!1s0x31da0f200b565ef7:0xe258ae0b584318f3!8m2!3d1.3473036!4d103.6806168!16s%2Fg%2F11txfmf74j!19sChIJ915WCyAP2jER8xhDWAuuWOI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,7 tea ntu north spine
V002,A Hot Hideout,Tanjong Hall,TJH-03-02,Hotpot,No,Vegetarian option(s) available,Daily: 11.30am to 8.30pm,ChIJq0q0MvQZ2jERodJdZBEeH3A,A Hot Hideout @ Jurong West (NTU),4.8,3621,$10-20,"60 Nanyang Cres, Blk 20A #03-02, Singapore 636957",Chinese restaurant,"[""Chinese restaurant""]",http://www.ahothideout.com/,,"[{""day"":""Monday"",""times"":[""11 am-9:30 pm""]},{""day"":""Tuesday"",""times"":[""11 am-9:30 pm""]},{""day"":""Wednesday"",""times"":[""11 am-9:30 pm""]},{""day"":""Thursday"",""times"":[""11 am-9:30 pm""]},{""day"":""Friday"",""times"":[""11 am-9:30 pm""]},{""day"":""Saturday"",""times"":[""11 am-9:30 pm""]},{""day"":""Sunday"",""times"":[""11 am-9:30 pm""]}]",,,,https://www.google.com/maps/place/A+Hot+Hideout+%40+Jurong+West+(NTU)/data=!4m7!3m6!1s0x31da19f432b44aab:0x701f1e11645dd2a1!8m2!3d1.3542467!4d103.6880256!16s%2Fg%2F11fs0bd9t2!19sChIJq0q0MvQZ2jERodJdZBEeH3A?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,a hot hideout ntu tanjong hall
V003,Acai Guru,Koufu North Spine ,NS2.1-02-01/03,AÃ§aÃ­ bowls / desserts,Not stated,Vegetarian / meat-free,Mon to Fri: 10am to 8pm; Sat: 10am to 2.30pm; Sun & PH: Closed,ChIJHSyIGt8P2jERzUzsx90ASm4,AcaiGuru @ NTU,5,90,,"NTU North Spine Plaza, N2, Nanyang Dr, #1-02-03, 76, 637331",Dessert shop,"[""Dessert shop""]",https://www.acaiguru.com/,8840 7977,"[{""day"":""Monday"",""times"":[""10 am-8 pm""]},{""day"":""Tuesday"",""times"":[""10 am-8 pm""]},{""day"":""Wednesday"",""times"":[""10 am-8 pm""]},{""day"":""Thursday"",""times"":[""10 am-8 pm""]},{""day"":""Friday"",""times"":[""10 am-8 pm""]},{""day"":""Saturday"",""times"":[""10 am-2 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,"https://www.google.com/maps/place/AcaiGuru+@+NTU/@1.3470965,103.6803603,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0fdf1a882c1d:0x6e4a00ddc7ec4ccd!8m2!3d1.3470965!4d103.6803603!16s%2Fg%2F11ntpwg2b2?entry=ttu&g_ep=EgoyMDI2MDkwMS4wIKXMDSoASAFQAw%3D%3D",acai guru ntu koufu north spine
V004,Ananda's TAJ Restaurant,Binjai Hall,BJH-01-02,Indian,Yes â€” halal certified,Vegetarian option(s) available,Daily: 11.30am to 10.30pm,ChIJl_4mcKYP2jERaQTKAt7D5YU,Ananda's TAJ Restaurant,3.6,125,$10-20,"60 Nanyang Cres, Block 19A #01-02, Singapore 636957",Indian restaurant,"[""Indian restaurant""]",,8436 1111,"[{""day"":""Monday"",""times"":[""11 am-11 pm""]},{""day"":""Tuesday"",""times"":[""11 am-11 pm""]},{""day"":""Wednesday"",""times"":[""11 am-11 pm""]},{""day"":""Thursday"",""times"":[""11 am-11 pm""]},{""day"":""Friday"",""times"":[""11 am-11 pm""]},{""day"":""Saturday"",""times"":[""11 am-11 pm""]},{""day"":""Sunday"",""times"":[""11 am-11 pm""]}]",,,,https://www.google.com/maps/place/Ananda's+TAJ+Restaurant/data=!4m7!3m6!1s0x31da0fa67026fe97:0x85e5c3de02ca0469!8m2!3d1.3542972!4d103.6876925!16s%2Fg%2F11gdz2ycfk!19sChIJl_4mcKYP2jERaQTKAt7D5YU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,ananda's taj restaurant ntu binjai hall
V005,ANDES by ASTONS,Hall 13,Hall13-01-13Andes,Western casual dining,Yes â€” halal certified,Not stated,Daily: 11am to 8pm,ChIJ0QtHkwkP2jEROSUKl0Ea-BA,ANDES by ASTONS,4.3,131,$1-10,"32 Nanyang Cres, Singapore 637658",Food court,"[""Food court""]",https://www.ntu.edu.sg/life-at-ntu/visiting-ntu,,"[{""day"":""Monday"",""times"":[""11 am-8 pm""]},{""day"":""Tuesday"",""times"":[""11 am-8 pm""]},{""day"":""Wednesday"",""times"":[""11 am-8 pm""]},{""day"":""Thursday"",""times"":[""11 am-8 pm""]},{""day"":""Friday"",""times"":[""11 am-8 pm""]},{""day"":""Saturday"",""times"":[""11 am-8 pm""]},{""day"":""Sunday"",""times"":[""11 am-8 pm""]}]",,,,https://www.google.com/maps/place/ANDES+by+ASTONS/data=!4m7!3m6!1s0x31da0f0993470bd1:0x10f81a41970a2539!8m2!3d1.3517212!4d103.6810811!16s%2Fg%2F11bwym7bbf!19sChIJ0QtHkwkP2jEROSUKl0Ea-BA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,andes by astons ntu hall 13
V006,Bakery Cuisine,North Spine Plaza,NS3-01-20,Bakery / cafÃ©,Not stated,Not stated,Mon to Fri: 7am to 9pm; Sat & Sun: 8am to 6pm,ChIJx252wQoP2jERGTtXO3fpSyI,Bakery Cuisine,3.7,24,$1-10,"50 Nanyang Ave, #01-20, Singapore 639798",Bakery,"[""Bakery""]",https://bakerycuisine.com.sg/,,"[{""day"":""Monday"",""times"":[""9 am-8 pm""]},{""day"":""Tuesday"",""times"":[""9 am-8 pm""]},{""day"":""Wednesday"",""times"":[""9 am-8 pm""]},{""day"":""Thursday"",""times"":[""9 am-8 pm""]},{""day"":""Friday"",""times"":[""9 am-8 pm""]},{""day"":""Saturday"",""times"":[""Closed""]},{""day"":""Sunday"",""times"":[""10 am-5 pm""]}]",,,,https://www.google.com/maps/place/Bakery+Cuisine/data=!4m7!3m6!1s0x31da0f0ac1766ec7:0x224be9773b573b19!8m2!3d1.3470395!4d103.6811832!16s%2Fg%2F11f3bf1xmv!19sChIJx252wQoP2jERGTtXO3fpSyI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,bakery cuisine ntu north spine
V007,Bismillah Biryani,North Spine Plaza,NS3-01-12,Biryani / Indian-Muslim,Muslim-operated (not stated as certified),Vegetarian option(s) available,Mon to Fri: 11.30am to 7.30pm; Sat: 11.30am to 5pm; Sun & PH: Closed,ChIJW_mWEqAP2jERquJlNqjcAJ4,Bismillah Biryani @ NTU,3.8,10,$1-10,"50 Nanyang Ave, NS3 -01-12 North Spine Plaza, Singapore 639798",North Indian restaurant,"[""North Indian restaurant""]",https://www.bismillahbiryani.com/,9615 9251,"[{""day"":""Monday"",""times"":[""11:30 am-7:45 pm""]},{""day"":""Tuesday"",""times"":[""11:30 am-7:45 pm""]},{""day"":""Wednesday"",""times"":[""11:30 am-7:45 pm""]},{""day"":""Thursday"",""times"":[""11:30 am-7:45 pm""]},{""day"":""Friday"",""times"":[""11:30 am-7:45 pm""]},{""day"":""Saturday"",""times"":[""11:30 am-5 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/Bismillah+Biryani+%40+NTU/data=!4m7!3m6!1s0x31da0fa01296f95b:0x9e00dca83665e2aa!8m2!3d1.3471212!4d103.6805186!16s%2Fg%2F11yxn8cggk!19sChIJW_mWEqAP2jERquJlNqjcAJ4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,bismillah biryani ntu north spine
V008,Blue Ocean Kopi & Toast,North Spine Plaza,N2.1-01-05,Kopi / local breakfast,Yes â€” halal certified,Not stated,Daily: 8am to 8.30pm (last order),ChIJC9GkSwAP2jEROdVM59abOh4,Blue Ocean Kopi & Toast,4.4,251,$1-10,"76 Nanyang Dr, Block N, #01-06 2.1, Singapore 637331",Chinese restaurant,"[""Chinese restaurant""]",,,"[{""day"":""Monday"",""times"":[""8 am-8:10 pm""]},{""day"":""Tuesday"",""times"":[""8 am-8:10 pm""]},{""day"":""Wednesday"",""times"":[""8 am-8:10 pm""]},{""day"":""Thursday"",""times"":[""8 am-8:10 pm""]},{""day"":""Friday"",""times"":[""8 am-8:10 pm""]},{""day"":""Saturday"",""times"":[""8 am-8:10 pm""]},{""day"":""Sunday"",""times"":[""8 am-8:10 pm""]}]",,,,https://www.google.com/maps/place/Blue+Ocean+Kopi+%26+Toast/data=!4m7!3m6!1s0x31da0f004ba4d10b:0x1e3a9bd6e74cd539!8m2!3d1.3471449!4d103.6799412!16s%2Fg%2F11y2cm7tlj!19sChIJC9GkSwAP2jEROdVM59abOh4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,blue ocean kopi & toast ntu north spine
V009,Boost Juice Bars,North Spine Plaza,NS3-01-11,Juices / smoothies,Not stated,Not stated,Mon to Fri: 10am to 9pm; Sat & Sun: 10am to 6pm; PH: Closed,ChIJ0xkAzE4P2jER8r0FqeLCnec,Boost Juice @ NTU North Spine Plaza,4.1,26,$1-10,"50 Nanyang Ave, NS3-01-11 North Spine Plaza, Singapore 639798",Juice shop,"[""Juice shop""]",https://www.boostjuicebars.com.sg/,,"[{""day"":""Monday"",""times"":[""10 am-8 pm""]},{""day"":""Tuesday"",""times"":[""10 am-8 pm""]},{""day"":""Wednesday"",""times"":[""10 am-8 pm""]},{""day"":""Thursday"",""times"":[""10 am-8 pm""]},{""day"":""Friday"",""times"":[""10 am-8 pm""]},{""day"":""Saturday"",""times"":[""11 am-5 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,"https://www.google.com/maps/place/Boost+Juice+@+NTU+North+Spine+Plaza/@1.345229,103.6811665,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0f4ecc0019d3:0xe79dc2e2a905bdf2!8m2!3d1.345229!4d103.6811665!16s%2Fg%2F11h4tn_2t_?entry=ttu&g_ep=EgoyMDI2MDkwMS4wIKXMDSoASAFQAw%3D%3D",boost juice bars ntu north spine
V010,Chateraise Unmanned Store,North Spine Plaza,NS3-01-08,Japanese desserts,Not stated,Not stated,Daily: 24 hours,ChIJWY6T3QoP2jER6OMSQA7EBtg,Chateraise,5,1,,"50 Nanyang Ave, NS3-01-08 Nanyang Technological University, North Spine, Plaza 639798",Patisserie,"[""Patisserie""]",https://chateraisesg.getz.co/,6219 7150,"[{""day"":""Monday"",""times"":[""Open 24 hours""]},{""day"":""Tuesday"",""times"":[""Open 24 hours""]},{""day"":""Wednesday"",""times"":[""Open 24 hours""]},{""day"":""Thursday"",""times"":[""Open 24 hours""]},{""day"":""Friday"",""times"":[""Open 24 hours""]},{""day"":""Saturday"",""times"":[""Open 24 hours""]},{""day"":""Sunday"",""times"":[""Open 24 hours""]}]",,,,https://www.google.com/maps/place/Ch%C3%A2terais%C3%A9/data=!4m7!3m6!1s0x31da0f0add938e59:0xd806c40e4012e3e8!8m2!3d1.3472387!4d103.6806377!16s%2Fg%2F11bw_52613!19sChIJWY6T3QoP2jER6OMSQA7EBtg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,chateraise unmanned store ntu north spine
